analysis_type,fit_scope,condition,K,top_m,selected_archetypes,mean,err,std,count,rank_mean,error_mean
spatial,within,rest,100,3,"[6, 19, 24]",0.007833333333333335,0.0006596856715021064,0.0041722185234485745,40,0.5631055555555555,0.32817833333333335
spatial,within,rest,100,5,"[6, 19, 24, 63, 45]",0.006333333333333332,0.0006405126152203485,0.004050957468334666,40,0.554095,0.3254058333333333
spatial,within,rest,100,10,"[6, 19, 24, 63, 45, 3, 76, 2, 52, 64]",0.011583333333333334,0.0008605595145384648,0.005442656256140666,40,0.5532549999999998,0.34805472222222217
spatial,within,word,5,1,[1],0.007833333333333335,0.0005540578101426393,0.003504169270911763,40,0.5284822222222223,0.3942241666666666
spatial,within,word,5,2,"[1, 3]",0.012333333333333333,0.0007567361314550618,0.004786019526285168,40,0.5637352777777778,0.386508611111111
spatial,within,word,5,3,"[1, 3, 2]",0.0165,0.0009692567716857538,0.006130118072137565,40,0.610837777777778,0.37130694444444434
spatial,within,word,5,5,"[1, 3, 2, 0, 4]",0.020666666666666667,0.0010350000344082463,0.006545914974165403,40,0.6735430555555556,0.3374058333333333
spatial,within,word,5,10,"[1, 3, 2, 0, 4]",0.020666666666666667,0.0010350000344082463,0.006545914974165403,40,0.6735430555555556,0.3374058333333333
spatial,within,word,10,1,[4],0.007583333333333333,0.00039562241344126857,0.002502135839774444,40,0.5435616666666665,0.3822166666666667
spatial,within,word,10,2,"[4, 0]",0.021166666666666667,0.0008569308515454933,0.005419706576302759,40,0.6602944444444445,0.3918591666666667
spatial,within,word,10,3,"[4, 0, 1]",0.02533333333333333,0.0011559335345002913,0.0073107655855794915,40,0.6672830555555557,0.37797638888888885
spatial,within,word,10,5,"[4, 0, 1, 7, 6]",0.028833333333333332,0.001260567863715135,0.0079725311891051,40,0.695498888888889,0.3496894444444444
spatial,within,word,10,10,"[4, 0, 1, 7, 6, 5, 2, 8, 3, 9]",0.030583333333333334,0.001137846093368401,0.0071963705635375175,40,0.7131622222222223,0.32070472222222224
spatial,within,word,25,1,[7],0.008583333333333333,0.0005187029077928005,0.0032805652351551038,40,0.5298066666666666,0.37206666666666666
spatial,within,word,25,2,"[7, 4]",0.012750000000000001,0.0008259286407784389,0.005223631379253783,40,0.5852841666666667,0.3669697222222222
spatial,within,word,25,3,"[7, 4, 1]",0.027333333333333338,0.001114524670954054,0.007048872937329038,40,0.7130691666666668,0.3805405555555555
spatial,within,word,25,5,"[7, 4, 1, 2, 6]",0.03175000000000001,0.0009695322983237214,0.0061318606556016175,40,0.7265752777777779,0.35908083333333324
