analysis_type,fit_scope,condition,K,archetype,mean_accuracy,sem_accuracy,std_accuracy,count,rank_mean,error_mean
spatial,within,intact,75,25,0.003916666666666667,0.0004904718932443306,0.003102016621894074,40,0.5377169444444444,0.31365999999999994
spatial,within,intact,75,26,0.003916666666666667,0.00041150650886420594,0.0026025956799903193,40,0.5551541666666667,0.33679166666666666
spatial,within,intact,75,27,0.006500000000000001,0.000674631903431942,0.004266746794119403,40,0.5702316666666667,0.3351075
spatial,within,intact,75,28,0.006500000000000001,0.0006954266558151432,0.004398264355939664,40,0.5539366666666667,0.35267527777777785
spatial,within,intact,75,29,0.00575,0.0006643924886069821,0.004201987048611068,40,0.5656241666666666,0.32824
spatial,within,intact,75,30,0.007166666666666666,0.000637726553230424,0.004033336865153501,40,0.5829902777777778,0.3270363888888888
spatial,within,intact,75,31,0.005083333333333334,0.0005596536881967729,0.0035395607112309897,40,0.5561783333333334,0.3354755555555555
spatial,within,intact,75,32,0.009666666666666667,0.000771648621745413,0.004880334396090479,40,0.5937794444444446,0.33902805555555543
spatial,within,intact,75,33,0.00475,0.0006739717291829767,0.004262571485560761,40,0.547498888888889,0.33440027777777775
spatial,within,intact,75,34,0.0075,0.0006933752452815363,0.004385290096535145,40,0.5913669444444445,0.3502755555555555
spatial,within,intact,75,35,0.00475,0.0005322571942188483,0.003366290069484333,40,0.5292613888888889,0.3187311111111111
spatial,within,intact,75,36,0.00475,0.0005583795745617396,0.0035315025090618263,40,0.5161127777777776,0.3511058333333333
spatial,within,intact,75,37,0.006500000000000001,0.0008684892079199971,0.005492808040605476,40,0.5898386111111111,0.3218713888888889
spatial,within,intact,75,38,0.005833333333333334,0.0006933752452815364,0.004385290096535146,40,0.5752972222222222,0.31869333333333333
spatial,within,intact,75,39,0.00475,0.0004904718932443306,0.003102016621894074,40,0.5687075000000001,0.33006055555555547
spatial,within,intact,75,40,0.007000000000000001,0.0007337993857053428,0.004640954808922571,40,0.5715027777777778,0.32388138888888884
spatial,within,intact,75,41,0.005416666666666667,0.0006718548123582125,0.004249182927993988,40,0.5324766666666667,0.3254311111111111
spatial,within,intact,75,42,0.0085,0.0007912448268825371,0.005004271679548888,40,0.5348547222222223,0.34479916666666666
spatial,within,intact,75,43,0.00575,0.0006084343084444759,0.003848076442547927,40,0.5493186111111112,0.31913249999999993
spatial,within,intact,75,44,0.0065833333333333325,0.0007009100718172972,0.004432944523789707,40,0.5530638888888889,0.33780555555555547
spatial,within,intact,75,45,0.005416666666666667,0.0006165742596507072,0.0038995580142565786,40,0.583865,0.33067888888888886
spatial,within,intact,75,46,0.0020833333333333337,0.0003517862436957438,0.0022248915591872,40,0.5427913888888888,0.33002972222222215
spatial,within,intact,75,47,0.006083333333333334,0.0006302839318575675,0.00398626559455255,40,0.5253180555555556,0.3268855555555555
spatial,within,intact,75,48,0.0035833333333333333,0.00048315646631310954,0.003055749799575685,40,0.5285438888888889,0.3338147222222222
spatial,within,intact,75,49,0.005333333333333333,0.0006405126152203485,0.004050957468334666,40,0.5367305555555556,0.33328888888888886
spatial,within,intact,75,50,0.005333333333333333,0.0007040784727049221,0.004452983250480495,40,0.5670613888888889,0.32600138888888885
spatial,within,intact,75,51,0.004333333333333333,0.0005229763603684908,0.0033075929223788923,40,0.5270086111111111,0.3227819444444444
spatial,within,intact,75,52,0.005666666666666667,0.0006338054920158089,0.0040085378965872415,40,0.5707530555555556,0.31601888888888885
spatial,within,intact,75,53,0.003166666666666667,0.0005056659032384978,0.0031981119786399334,40,0.550991388888889,0.31018388888888887
spatial,within,intact,75,54,0.006333333333333332,0.0008672581807839878,0.005485022341382949,40,0.5684741666666666,0.33825694444444443
spatial,within,intact,75,55,0.00525,0.0005047847980156418,0.0031925393799149436,40,0.5454827777777779,0.34427472222222216
spatial,within,intact,75,56,0.0037500000000000007,0.0005362566783465032,0.003391585028102495,40,0.5345163888888889,0.33224249999999994
spatial,within,intact,75,57,0.00375,0.0006107710786713059,0.003862855475118429,40,0.5213477777777777,0.32914833333333327
spatial,within,intact,75,58,0.004916666666666666,0.0006314129680188206,0.003993406246213056,40,0.5099133333333332,0.3366191666666667
