analysis_type,fit_scope,condition,K,archetype,mean_accuracy,sem_accuracy,std_accuracy,count,rank_mean,error_mean
temporal,within,intact,100,20,0.008749999999999999,0.0005428570089754135,0.0034333291842975513,40,0.657186111111111,0.28877444444444444
temporal,within,intact,100,21,0.007083333333333333,0.00044955660333392903,0.002843245607408123,40,0.5960922222222222,0.32634805555555546
temporal,within,intact,100,22,0.0075,0.000426173593297299,0.0026953584668754664,40,0.6422038888888889,0.3336311111111111
temporal,within,intact,100,23,0.008416666666666666,0.0007452365348515147,0.004713289691404478,40,0.6455408333333332,0.3095366666666666
temporal,within,intact,100,24,0.006500000000000001,0.0004457779141208643,0.002819347078441735,40,0.6147491666666667,0.3134272222222222
temporal,within,intact,100,25,0.01075,0.0007960685091278711,0.0050347793247572286,40,0.6791936111111115,0.3150752777777778
temporal,within,intact,100,26,0.0075,0.0005937710859953545,0.0037553380809940543,40,0.6269761111111111,0.3374386111111111
temporal,within,intact,100,27,0.0085,0.0005462902602399647,0.0034550429718488217,40,0.6070363888888888,0.3089222222222222
temporal,within,intact,100,28,0.007916666666666666,0.0005295740910852021,0.0033493206352854183,40,0.6225305555555556,0.3297352777777778
temporal,within,intact,100,29,0.007416666666666666,0.0005131809630673188,0.003245641390262953,40,0.6515766666666666,0.2986391666666667
temporal,within,intact,100,30,0.007416666666666666,0.0006025527367540542,0.003810878117021328,40,0.6366611111111112,0.3282986111111111
temporal,within,intact,100,31,0.009666666666666667,0.0005943705521611524,0.003759129437922314,40,0.6696916666666668,0.3450572222222221
temporal,within,intact,100,32,0.008499999999999999,0.0005330928945203023,0.0033715755022721006,40,0.6588508333333335,0.28292527777777776
temporal,within,intact,100,33,0.008333333333333335,0.000559812748506421,0.003540566696958629,40,0.6293091666666666,0.31470555555555546
temporal,within,intact,100,34,0.006416666666666666,0.00046818282400698627,0.0029610481704636735,40,0.5912716666666669,0.29219888888888884
temporal,within,intact,100,35,0.010666666666666668,0.0006877023141843227,0.004349411329982359,40,0.6309788888888888,0.30075611111111106
temporal,within,intact,100,36,0.008499999999999999,0.0007352538953302393,0.0046501539355091916,40,0.6301175,0.3380711111111111
temporal,within,intact,100,37,0.008833333333333334,0.000566767210788584,0.003584550578385364,40,0.6546711111111112,0.3029736111111111
temporal,within,intact,100,38,0.007166666666666666,0.0004228178434916492,0.002674134841588425,40,0.5822277777777778,0.3299255555555556
temporal,within,intact,100,39,0.006666666666666666,0.0004921028776234113,0.0031123318728261753,40,0.6250627777777777,0.3124769444444444
temporal,within,intact,100,40,0.005416666666666667,0.0004727247200735973,0.002989773643396175,40,0.6616411111111109,0.3244694444444445
temporal,within,intact,100,41,0.008166666666666666,0.0005330928945203023,0.0033715755022721006,40,0.6450605555555555,0.3154838888888889
temporal,within,intact,100,42,0.007333333333333333,0.00048038446141526135,0.003038218101251,40,0.6149022222222221,0.3206152777777777
temporal,within,intact,100,43,0.007000000000000001,0.0005943705521611524,0.003759129437922314,40,0.6390797222222224,0.31577055555555555
temporal,within,intact,100,44,0.006750000000000001,0.0004846283858428769,0.0030650590360687827,40,0.5906363888888889,0.3128441666666667
temporal,within,intact,100,45,0.008333333333333333,0.0007259927871993819,0.0045915815448079635,40,0.6451638888888889,0.30453472222222217
temporal,within,intact,100,46,0.00775,0.0006013695196343916,0.003803394794892053,40,0.6160225,0.3148827777777778
temporal,within,intact,100,47,0.00775,0.00046818282400698627,0.0029610481704636735,40,0.6188327777777779,0.3296708333333333
temporal,within,intact,100,48,0.006833333333333333,0.0004295031251026405,0.0027164162749691695,40,0.6147016666666667,0.3536202777777777
temporal,within,intact,100,49,0.009333333333333334,0.0006979824404521127,0.0044144285572630445,40,0.6508469444444444,0.33141027777777776
temporal,within,intact,100,50,0.0061666666666666675,0.0004855460696524952,0.003070862978089291,40,0.6042422222222223,0.3398672222222222
temporal,within,intact,100,51,0.009666666666666667,0.0007141228955659593,0.004516509758525979,40,0.6334852777777777,0.35814749999999995
temporal,within,intact,100,52,0.008083333333333335,0.0005954181656808868,0.0037657551275822065,40,0.626063888888889,0.3149086111111111
temporal,within,intact,100,53,0.006833333333333333,0.0005056659032384978,0.0031981119786399334,40,0.5856461111111111,0.2914688888888889
temporal,within,intact,100,54,0.007250000000000001,0.0005583795745617396,0.003531502509061826,40,0.5933563888888889,0.30728055555555556
temporal,within,intact,100,55,0.006083333333333334,0.0004904718932443306,0.003102016621894074,40,0.6018391666666667,0.3258791666666666
temporal,within,intact,100,56,0.00625,0.0005621932528599516,0.003555622328432836,40,0.6227522222222224,0.3144761111111111
temporal,within,intact,100,57,0.007916666666666666,0.0006503067433133847,0.004112900973273538,40,0.6034972222222222,0.3089180555555555
temporal,within,intact,100,58,0.007916666666666666,0.0007129999620399329,0.004509407703319565,40,0.6686372222222222,0.3413183333333333
temporal,within,intact,100,59,0.007416666666666666,0.0005532537786493135,0.0034990841292529317,40,0.6118530555555557,0.3186649999999999
temporal,within,intact,100,60,0.009333333333333332,0.000599144689515278,0.003789323733725367,40,0.6136016666666667,0.33925805555555555
temporal,within,intact,100,61,0.006666666666666666,0.00047740991602628855,0.0030194054243855885,40,0.6165886111111112,0.3380008333333333
