analysis_type,fit_scope,condition,K,top_m,selected_archetypes,mean,err,std,count,rank_mean,error_mean
temporal,within,rest,100,1,[2],0.007750000000000002,0.0005647213971599238,0.003571611716915804,40,0.6436672222222223,0.30546805555555556
temporal,within,rest,100,2,"[2, 1]",0.007333333333333333,0.0005748776656683841,0.003635845598945756,40,0.6305166666666666,0.2752683333333333
temporal,within,rest,100,3,"[2, 1, 0]",0.0105,0.0006149838438569978,0.0038894993415869257,40,0.6241161111111111,0.276425
temporal,within,rest,100,5,"[2, 1, 0, 18, 14]",0.011250000000000001,0.0006165742596507072,0.0038995580142565786,40,0.6400216666666668,0.2538177777777777
temporal,within,rest,100,10,"[2, 1, 0, 18, 14, 11, 4, 8, 20, 52]",0.011583333333333334,0.000826790554543665,0.005229082600543316,40,0.6586897222222223,0.2581175
temporal,within,word,5,1,[0],0.009250000000000001,0.0005906139063083313,0.0037353703234072324,40,0.6214908333333335,0.3412658333333332
temporal,within,word,5,2,"[0, 1]",0.012833333333333332,0.000787635937708768,0.004981447060324421,40,0.6509319444444446,0.3412983333333332
temporal,within,word,5,3,"[0, 1, 2]",0.014666666666666666,0.0009533267586887031,0.006029367823684035,40,0.6550991666666668,0.3414722222222221
temporal,within,word,5,5,"[0, 1, 2, 4, 3]",0.01583333333333333,0.0010857140179508268,0.006866658368595102,40,0.684446388888889,0.34965416666666654
temporal,within,word,5,10,"[0, 1, 2, 4, 3]",0.01583333333333333,0.0010857140179508268,0.006866658368595102,40,0.684446388888889,0.34965416666666654
temporal,within,word,10,1,[2],0.009916666666666667,0.0006906735223894966,0.0043682029006442205,40,0.6392402777777778,0.3093333333333333
temporal,within,word,10,2,"[2, 0]",0.013666666666666666,0.000953326758688703,0.006029367823684034,40,0.6746755555555557,0.32168666666666657
temporal,within,word,10,3,"[2, 0, 4]",0.014416666666666666,0.000719958648701754,0.004553418302069142,40,0.6777050000000001,0.3368613888888888
temporal,within,word,10,5,"[2, 0, 4, 1, 3]",0.026416666666666665,0.0012368251562918935,0.007822369122552238,40,0.6793666666666669,0.3293433333333332
temporal,within,word,10,10,"[2, 0, 4, 1, 3, 5, 6, 9, 8, 7]",0.03533333333333334,0.001137298242963249,0.0071929056533428645,40,0.7134619444444447,0.3147572222222221
temporal,within,word,25,1,[5],0.0105,0.0007693375994193588,0.004865718207542816,40,0.6241252777777778,0.32256888888888885
temporal,within,word,25,2,"[5, 7]",0.011833333333333333,0.0008264674422192522,0.005227039058772884,40,0.6494458333333333,0.32032333333333324
temporal,within,word,25,3,"[5, 7, 11]",0.013916666666666666,0.0007442801834342974,0.0047072411939606046,40,0.6411250000000001,0.3283102777777777
temporal,within,word,25,5,"[5, 7, 11, 13, 4]",0.020666666666666667,0.0010951850069418406,0.006926558162407068,40,0.6617263888888891,0.3188305555555554
temporal,within,word,25,10,"[5, 7, 11, 13, 4, 1, 3, 2, 6, 8]",0.03191666666666666,0.0013013662555384365,0.008230562875172345,40,0.7112230555555558,0.3132544444444442
temporal,within,word,50,1,[10],0.009833333333333333,0.0006309898162000304,0.003990729999126216,40,0.6098283333333334,0.26741083333333326
temporal,within,word,50,2,"[10, 9]",0.0125,0.0005816520337100941,0.003678690464385871,40,0.6474536111111112,0.29504111111111103
temporal,within,word,50,3,"[10, 9, 11]",0.020333333333333335,0.0010459527207369815,0.0066151858447577845,40,0.6722247222222224,0.3153647222222221
