rank,accuracy,error,rep,fold,K,condition,reconstruction
0.8829777777777778,0.06333333333333334,0.25372222222222196,8,0,25,intact,all_archetypes
0.8768444444444444,0.08,0.24231111111111087,8,1,25,intact,all_archetypes
0.8807111111111118,0.10666666666666667,0.24874444444444435,9,0,25,intact,all_archetypes
0.8834555555555562,0.06666666666666667,0.28363333333333285,9,1,25,intact,all_archetypes
0.8668333333333343,0.05333333333333334,0.28951111111111094,10,0,25,intact,all_archetypes
0.8660888888888896,0.05333333333333334,0.247111111111111,10,1,25,intact,all_archetypes
0.8735222222222232,0.07333333333333333,0.22062222222222194,11,0,25,intact,all_archetypes
0.8743555555555563,0.06666666666666667,0.2625111111111108,11,1,25,intact,all_archetypes
0.8668555555555557,0.06333333333333334,0.25954444444444424,12,0,25,intact,all_archetypes
0.8647888888888898,0.09666666666666666,0.2375666666666667,12,1,25,intact,all_archetypes
0.8776666666666677,0.07,0.2563888888888888,13,0,25,intact,all_archetypes
0.8743222222222229,0.07,0.24919999999999967,13,1,25,intact,all_archetypes
0.882233333333334,0.056666666666666664,0.2662555555555553,14,0,25,intact,all_archetypes
0.8794777777777785,0.06,0.25579999999999997,14,1,25,intact,all_archetypes
0.8606333333333339,0.07666666666666666,0.24444444444444433,15,0,25,intact,all_archetypes
0.8570888888888892,0.05333333333333334,0.27741111111111083,15,1,25,intact,all_archetypes
0.857588888888889,0.06,0.2441111111111109,16,0,25,intact,all_archetypes
0.8598666666666668,0.07,0.2533333333333332,16,1,25,intact,all_archetypes
0.8603888888888889,0.06,0.2549444444444444,17,0,25,intact,all_archetypes
0.8567333333333338,0.056666666666666664,0.2789111111111106,17,1,25,intact,all_archetypes
0.8684666666666667,0.043333333333333335,0.26597777777777765,18,0,25,intact,all_archetypes
0.8649888888888887,0.09666666666666666,0.24156666666666643,18,1,25,intact,all_archetypes
