analysis_type,fit_scope,condition,K,top_m,selected_archetypes,mean,err,std,count,rank_mean,error_mean
temporal,across,rest,10,5,"[0, 2, 3, 1, 7]",0.0095833333333333,0.0007933798377521,0.005017774673903,40,0.5992016666666666,0.3212405555555555
temporal,across,rest,10,10,"[0, 2, 3, 1, 7, 6, 4, 5, 8, 9]",0.0095833333333333,0.0007659742320839,0.0048444464047671,40,0.5952322222222224,0.3061883333333333
temporal,across,rest,25,1,[11],0.005,0.0005723943812052,0.0036201399289824,40,0.5468455555555556,0.3299649999999999
temporal,across,rest,25,2,"[11, 0]",0.00925,0.000602552736754,0.0038108781170213,40,0.6159005555555556,0.3456333333333333
temporal,across,rest,25,3,"[11, 0, 2]",0.0115,0.0007055942515803,0.0044625698778315,40,0.6135125,0.3342305555555555
temporal,across,rest,25,5,"[11, 0, 2, 7, 8]",0.0078333333333333,0.0006032910690206,0.0038155477402863,40,0.5903872222222223,0.3311766666666666
temporal,across,rest,25,10,"[11, 0, 2, 7, 8, 4, 9, 12, 15, 13]",0.0134166666666666,0.0007109992566943,0.0044967541316818,40,0.6065194444444445,0.3044616666666666
temporal,across,rest,50,1,[0],0.0080833333333333,0.0005187029077928,0.0032805652351551,40,0.6001941666666666,0.3247119444444444
temporal,across,rest,50,2,"[0, 34]",0.0089166666666666,0.0006579288490181,0.0041611074024608,40,0.6215975,0.3128458333333334
temporal,across,rest,50,3,"[0, 34, 6]",0.0126666666666666,0.0006772661653216,0.0042834073291689,40,0.6285533333333333,0.3038227777777777
temporal,across,rest,50,5,"[0, 34, 6, 8, 2]",0.0125833333333333,0.0007009100718172,0.0044329445237897,40,0.6283725,0.3033388888888888
temporal,across,rest,50,10,"[0, 34, 6, 8, 2, 12, 13, 3, 18, 9]",0.0134166666666666,0.000881008066748,0.0055719842558112,40,0.6105813888888889,0.2941333333333332
temporal,across,rest,75,1,[27],0.0103333333333333,0.0007040784727049,0.0044529832504804,40,0.6460763888888892,0.2651869444444444
temporal,across,rest,75,2,"[27, 15]",0.00775,0.0007490497303754,0.0047374064574427,40,0.6025902777777777,0.2995113888888888
temporal,across,rest,75,3,"[27, 15, 20]",0.0084999999999999,0.000782191384396,0.0049470126817034,40,0.5919511111111112,0.3009727777777778
temporal,across,rest,75,5,"[27, 15, 20, 34, 22]",0.0094166666666666,0.0007537890989514,0.0047673808561851,40,0.6104400000000001,0.2881322222222222
temporal,across,rest,75,10,"[27, 15, 20, 34, 22, 0, 6, 19, 16, 13]",0.0164166666666666,0.0008882543140878,0.0056178135479765,40,0.633596111111111,0.2913341666666666
