analysis_type,fit_scope,condition,K,top_m,selected_archetypes,mean,err,std,count,rank_mean,error_mean,fit_source_file,fit_source_basename
spatial,across,word,5,10,"[2, 1, 3, 0, 4]",0.0168333333333333,0.0008001958449738,0.0050608828886406,40,0.6419222222222223,0.3437697222222221,,
spatial,across,word,10,1,[4],0.0086666666666666,0.0004744167209018,0.0030004747962362,40,0.5389463888888889,0.3833705555555555,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K10.npz,spatialAA_across_acrossCond_K10.npz
spatial,across,word,10,2,"[4, 2]",0.0141666666666666,0.0008160603016655,0.0051612185226142,40,0.5577161111111112,0.3746238888888887,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K10.npz,spatialAA_across_acrossCond_K10.npz
spatial,across,word,10,3,"[4, 2, 3]",0.0173333333333333,0.0010070973211388,0.0063694427205055,40,0.6017666666666668,0.3731719444444443,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K10.npz,spatialAA_across_acrossCond_K10.npz
spatial,across,word,10,5,"[4, 2, 3, 5, 0]",0.0198333333333333,0.0009838438483563,0.006222374845503,40,0.6025425000000001,0.3633963888888888,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K10.npz,spatialAA_across_acrossCond_K10.npz
spatial,across,word,10,10,"[4, 2, 3, 5, 0, 6, 1, 7, 9, 8]",0.0321666666666666,0.0016944269299921,0.0107164968550037,40,0.6914975,0.3028830555555554,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K10.npz,spatialAA_across_acrossCond_K10.npz
spatial,across,word,25,1,[6],0.008,0.0006062354060275,0.0038341693625679,40,0.5539113888888889,0.3816422222222222,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K25.npz,spatialAA_across_acrossCond_K25.npz
spatial,across,word,25,2,"[6, 5]",0.0126666666666666,0.0009026709338484,0.0057089922571845,40,0.5856141666666667,0.3727227777777777,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K25.npz,spatialAA_across_acrossCond_K25.npz
spatial,across,word,25,3,"[6, 5, 2]",0.027,0.0011982893790305,0.0075786474674507,40,0.6798569444444444,0.3766080555555555,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K25.npz,spatialAA_across_acrossCond_K25.npz
spatial,across,word,25,5,"[6, 5, 2, 4, 3]",0.03225,0.0013887393081845,0.0087831585801393,40,0.6760427777777778,0.3429802777777777,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K25.npz,spatialAA_across_acrossCond_K25.npz
